,match_url
261,/matches/2341672/vitality-vs-ence-blast-premier-spring-2020-europe-showdown
262,/matches/2341795/cr4zy-vs-giants-home-sweet-home-cup-8-closed-qualifier
263,/matches/2341794/japaleno-vs-avez-home-sweet-home-cup-8-closed-qualifier
264,/matches/2341750/rooster-vs-avant-esl-australia-nz-championship-season-11
265,/matches/2341739/mako-vs-control-esea-mdl-season-34-australia
266,/matches/2341723/generation-of-miracles-vs-ground-zero-esl-australia-nz-championship-season-11
267,/matches/2341792/alternate-attax-vs-juggernauts-home-sweet-home-cup-8-closed-qualifier
268,/matches/2341793/sgpro-vs-illuminar-home-sweet-home-cup-8-closed-qualifier
269,/matches/2341755/natus-vincere-vs-mousesports-gamers-without-borders-2020
270,/matches/2341782/heroic-vs-complexity-home-sweet-home-cup-6
271,/matches/2341787/fightclub-vs-sons-of-lennart-svenska-elitserien-spring-2020
272,/matches/2341781/gambit-youngsters-vs-complexity-home-sweet-home-cup-6
273,/matches/2341789/saw-vs-movistar-riders-esl-masters-csgo-season-7
274,/matches/2341790/navi-junior-vs-espada-sector-mostbet-season-3
275,/matches/2341788/ago-vs-avez-esl-polish-championship-spring-2020
276,/matches/2341791/sprout-vs-big-esl-meisterschaft-spring-2020
277,/matches/2341786/prima-vs-lilmix-svenska-elitserien-spring-2020
278,/matches/2341780/heroic-vs-forze-home-sweet-home-cup-6
279,/matches/2341653/big-vs-unicorns-of-love-esl-meisterschaft-spring-2020
280,/matches/2341760/hellraisers-vs-espada-sector-mostbet-season-3
281,/matches/2341652/alternate-attax-vs-sprout-esl-meisterschaft-spring-2020
282,/matches/2341775/pc419-vs-chiefs-esea-mdl-season-34-australia
283,/matches/2341625/chiefs-vs-bantz-esea-mdl-season-34-australia
284,/matches/2341779/forze-vs-saw-home-sweet-home-cup-6
285,/matches/2341726/liquid-vs-100-thieves-showmatch-csgo
286,/matches/2341044/geng-vs-cloud9-dreamhack-masters-spring-2020-north-america
287,/matches/2341733/illuminar-vs-avez-esl-polish-championship-spring-2020
288,/matches/2341759/lilmix-vs-sons-of-lennart-svenska-elitserien-spring-2020
289,/matches/2341754/mousesports-vs-og-gamers-without-borders-2020
290,/matches/2341443/movistar-riders-vs-x6tence-esl-masters-csgo-season-7
291,/matches/2341785/fwrd-vs-tenerife-titans-esl-benelux-championship-summer-2020
292,/matches/2341054/godsent-vs-spirit-dreamhack-masters-spring-2020-europe
293,/matches/2341442/saw-vs-wygers-esl-masters-csgo-season-7
294,/matches/2341651/unicorns-of-love-vs-ad-hoc-esl-meisterschaft-spring-2020
295,/matches/2341732/ago-vs-pact-esl-polish-championship-spring-2020
296,/matches/2341758/fightclub-vs-prima-svenska-elitserien-spring-2020
297,/matches/2341753/natus-vincere-vs-faze-gamers-without-borders-2020
298,/matches/2341778/heroic-vs-hard-legion-home-sweet-home-cup-6
299,/matches/2341545/lowlandlions-vs-tenerife-titans-esl-benelux-championship-summer-2020
300,/matches/2341650/euronics-vs-sprout-esl-meisterschaft-spring-2020
301,/matches/2341060/nip-vs-ence-dreamhack-masters-spring-2020-europe
302,/matches/2341777/complexity-vs-endpoint-home-sweet-home-cup-6
303,/matches/2341544/fwrd-vs-sector-one-esl-benelux-championship-summer-2020
304,/matches/2341771/forze-vs-virtuspro-cis-cup-blast-premier-qualifier
305,/matches/2341776/gambit-youngsters-vs-secret-home-sweet-home-cup-6
306,/matches/2341783/9z-vs-paquet-liga-dell-5-may-20
307,/matches/2341449/sharks-vs-redemption-poa-cbcs-the-rising-2020
308,/matches/2341731/avez-vs-wisla-krakow-esl-polish-championship-spring-2020
309,/matches/2341774/hard-legion-vs-agf-home-sweet-home-cup-6
310,/matches/2341042/evil-geniuses-vs-100-thieves-dreamhack-masters-spring-2020-north-america
311,/matches/2341752/fnatic-vs-og-gamers-without-borders-2020
312,/matches/2341610/fate-vs-cleantmix-winners-league-season-4-europe
313,/matches/2341773/nordavind-vs-agf-home-sweet-home-cup-6
314,/matches/2341609/skade-vs-apeks-winners-league-season-4-europe
315,/matches/2341059/natus-vincere-vs-nip-dreamhack-masters-spring-2020-europe
316,/matches/2341751/g2-vs-faze-gamers-without-borders-2020
317,/matches/2341730/izako-boars-vs-pact-esl-polish-championship-spring-2020
318,/matches/2341608/singularity-vs-x6tence-winners-league-season-4-europe
319,/matches/2341772/hard-legion-vs-secret-home-sweet-home-cup-6
320,/matches/2341058/vitality-vs-ence-dreamhack-masters-spring-2020-europe
321,/matches/2341764/virtuspro-vs-navi-junior-cis-cup-blast-premier-qualifier
322,/matches/2341643/secret-vs-agf-home-sweet-home-cup-6
323,/matches/2341642/hard-legion-vs-nordavind-home-sweet-home-cup-6
324,/matches/2341763/forze-vs-1win-cis-cup-blast-premier-qualifier
325,/matches/2341757/morning-light-vs-recon-5-winners-league-season-4-north-america
326,/matches/2341770/morning-light-vs-under-21-esea-mdl-season-34-north-america
327,/matches/2341671/rbg-vs-triumph-winners-league-season-4-north-america
328,/matches/2341670/swedish-canadians-vs-thunder-logic-winners-league-season-4-north-america
329,/matches/2341663/chaos-vs-blood-sweat-and-tears-esea-mdl-season-34-north-america
330,/matches/2341669/yeah-vs-new-england-whalers-winners-league-season-4-north-america
331,/matches/2341448/boom-vs-imperial-cbcs-the-rising-2020
332,/matches/2341039/100-thieves-vs-cloud9-dreamhack-masters-spring-2020-north-america
333,/matches/2341765/salamander-vs-saw-home-sweet-home-cup-6
334,/matches/2341664/way-2-french-vs-warriors-international-esea-mdl-season-34-north-america
335,/matches/2341598/gambit-youngsters-vs-sprout-hellcase-cup-8
336,/matches/2341729/hellraisers-vs-fate-esea-mdl-season-34-europe
337,/matches/2341728/skade-vs-nemiga-esea-mdl-season-34-europe
338,/matches/2341762/honoris-vs-saw-home-sweet-home-cup-6
339,/matches/2341057/natus-vincere-vs-ence-dreamhack-masters-spring-2020-europe
340,/matches/2341597/sprout-vs-excellency-hellcase-cup-8
341,/matches/2341761/endpoint-vs-salamander-home-sweet-home-cup-6
342,/matches/2341746/nemiga-vs-1win-cis-cup-blast-premier-qualifier
343,/matches/2341056/vitality-vs-nip-dreamhack-masters-spring-2020-europe
344,/matches/2341743/overt-vs-ground-zero-esea-mdl-season-34-australia
345,/matches/2341741/rooster-vs-incept-esea-mdl-season-34-australia
346,/matches/2341744/bantz-vs-forbidden-esea-mdl-season-34-australia
347,/matches/2341738/skyfire-vs-ground-zero-esea-mdl-season-34-australia
348,/matches/2341641/saw-vs-salamander-home-sweet-home-cup-6
349,/matches/2341740/incept-vs-avant-esea-mdl-season-34-australia
350,/matches/2341742/justice-vs-order-esea-mdl-season-34-australia
351,/matches/2341725/espada-vs-navi-junior-cis-cup-blast-premier-qualifier
352,/matches/2341737/avant-vs-pc419-esea-mdl-season-34-australia
353,/matches/2341736/mako-vs-order-esea-mdl-season-34-australia
354,/matches/2341640/endpoint-vs-honoris-home-sweet-home-cup-6
355,/matches/2341668/warriors-international-vs-teamone-winners-league-season-4-north-america
356,/matches/2341662/swedish-canadians-vs-buffdaddys-paypal-esea-mdl-season-34-north-america
357,/matches/2341659/keep-the-comms-up-vs-under-21-esea-mdl-season-34-north-america
358,/matches/2341660/blood-sweat-and-tears-vs-buffdaddys-paypal-esea-mdl-season-34-north-america
359,/matches/2341658/chaos-vs-new-england-whalers-esea-mdl-season-34-north-america
360,/matches/2341756/big-frames-vs-chaos-winners-league-season-4-north-america
361,/matches/2341038/evil-geniuses-vs-geng-dreamhack-masters-spring-2020-north-america
362,/matches/2341747/skade-vs-complexity-home-sweet-home-cup-6
363,/matches/2341546/apologis-vs-game-fist-kayzr-league-spring-2020
364,/matches/2341637/hellraisers-vs-mens-esea-mdl-season-34-europe
365,/matches/2341595/excellency-vs-gambit-youngsters-hellcase-cup-8
366,/matches/2341378/sangal-vs-boca-boston-esl-turkey-championship-winter-2020
367,/matches/2341613/tricked-vs-hellraisers-sector-mostbet-season-3
368,/matches/2341055/fnatic-vs-faze-dreamhack-masters-spring-2020-europe
369,/matches/2341607/agf-vs-espada-winners-league-season-4-europe
370,/matches/2341234/nemiga-vs-endpoint-esea-mdl-season-34-europe
371,/matches/2341735/apeks-vs-complexity-home-sweet-home-cup-6
372,/matches/2341748/movistar-riders-vs-gamerlegion-esea-mdl-season-34-europe
373,/matches/2341596/sprout-vs-pro100-hellcase-cup-8
